age	sex	party	party guess	race	ethnicity	precinct	prop value	voted 2010	voted 2011	voted 2012	voted 2013	voted 2014	voted 2015	voted 2016	voted 2017	voted 2018	voted 2019	voted 2020	voted 2021
49	F	D	D	WHITE	BRITISH	1	810.0	False	False	False	False	True	False	False	False	False	True	True	True
72	F	U	R	WHITE	JEWISH	4	560.0	True	False	False	False	False	True	False	False	True	True	True	True
49	F	U	U	WHITE	BRITISH	2	910.0						False	False	False	False	False	False	False
33	F	D	D	UNKNOWN	NORDIC	4	470.0												True
39	F	D	D	WHITE	BRITISH	2	530.0	False	False	False	False	False	False	False	False	False	False	False	False
68	F	R	R	WHITE	GERMANIC	3	660.0	True	False	False	False	False	False	False	False	False	False	False	True
31	F	D	D	WHITE	BRITISH	4	730.0								False	False	False	False	False
30	F	R	R	WHITE	FRENCH	4	360.0		False	False	False	False	False	False	False	False	False	False	False
79	M	D	D	WHITE	BRITISH	3	820.0	False	False	False	False	False	False	False	False	False	False	False	False
54	F	D	D	WHITE	BRITISH	1	550.0	False	False	False	False	False	True	False	False	False	False	False	True
32	M	U	D	WHITE	BRITISH	2	670.0	False	False	False	False	False	False	False	False	False	False	False	False
65	F	U	D	WHITE	BRITISH	1	560.0	False	False	False	True	True	True	True	True	True	True	False	True
53	M	D	D	BLACK	BRITISH	2	490.0	False	False	False	True	True	False	False	True	True	True	False	True
65	M	D	D	WHITE	BRITISH	2	500.0	False	False	False	False	False	False	False	False	False	False	False	False
30	F	U	U	WHITE	JEWISH	4	540.0												False
51	F	D	D	WHITE	JEWISH	4	400.0	True	False	False	False	True	False	True	False	False	True	True	True
28	M	U	U	WHITE	BRITISH	1	480.0								False	False	False	False	False
65	F	U	D	WHITE	BRITISH	5	530.0	False	False	False	False	False	False	False	False	False	False	False	False
42	F	U	D	WHITE	JEWISH	3	520.0		False	False	False	False	False	False	False	False	False	True	True
25	F	D	D	WHITE	BRITISH	1	520.0						False	True	False	True	False	True	True
75	M	U	R	WHITE	BRITISH	3	470.0	False	False	False	False	False	False	False	False	False	False	False	False
57	M	D	D	ASIAN	INDIANSUBCONTINENT	2	500.0			False	False	False	False	False	False	False	False	False	True
21	F	U	U	WHITE	JEWISH	4	760.0										False	False	False
20	U	U	D	ASIAN	HISPANIC	5	880.0										False	False	False
93	M	U	D	WHITE	BRITISH	5	590.0	False	False	False	False	False	False	False	False	False	False	False	False
18	M	U	U	UNKNOWN	JEWISH	4	580.0										False	False	False
87	M	U	U	WHITE	JEWISH	5													False
61	M	U	D	WHITE	INDIANSUBCONTINENT	4	600.0	False	False	False	False	False	False	False	False	False	False	False	False
41	M	U	D	WHITE	JEWISH	1	610.0				False	False	False	True	False	True	False	False	True
48	F	D	D	WHITE	BRITISH	1	930.0	False	False	False	True	True	True	True	False	True	True	True	True
71	F	U	R	WHITE	NORDIC	3	390.0	False	False	False	False	False	False	False	False	True	True	False	False
64	M	U	D	WHITE	BRITISH	4	510.0	False	False	False	False	False	False	False	False	False	False	False	False
56	U	U	D	ASIAN	EASTASIAN	1	650.0	True	False	False	False	False	False	False	False	True	True	False	True
26	M	D	D	WHITE	HISPANIC	1	380.0					True	False	False	False	False	False	False	False
76	M	U	D	WHITE	JEWISH	2	460.0	False	False	False	False	False	False	False	False	False	True	True	False
19	F	U	D	WHITE	JEWISH	2	710.0										False	False	False
23	F	D	D	WHITE	JEWISH	2	650.0								False	False	False	True	False
65	M	U	U	WHITE	EASTEUROPEAN	5	540.0	False	False	False	False	False	False	False	False	False	False	False	False
39	U	U	U	ASIAN	INDIANSUBCONTINENT	4	1000.0								False	False	False	False	False
31	M	D	D	UNKNOWN	BRITISH	5	480.0											False	False
42	M	D	D	WHITE	JEWISH	3	680.0	False	False	False	False	False	False	False	False	False	False	False	False
75	F	U	D	WHITE	ITALIAN	1	740.0	True	False	False	False	False	False	False	False	False	False	False	False
39	U	U	D	ASIAN	EASTASIAN	2	600.0									False	False	False	False
39	M	U	D	WHITE	JEWISH	1	640.0	False	False	False	False	False	False	False	False	False	False	False	False
68	F	R	R	WHITE	AFRICANS	5	390.0	False	False	False	False	False	False	False	False	False	False	False	False
68	M	D	D	WHITE	JEWISH	3	600.0	True	False	False	False	False	False	False	False	False	False	True	False
68	M	U	D	WHITE	BRITISH	3	800.0	False	False	False	False	False	False	True	False	False	False	False	True
66	U	D	D	ASIAN	INDIANSUBCONTINENT	3	1550.0												False
55	U	D	D	UNKNOWN	EASTASIAN	1	550.0												False
70	M	D	D	WHITE	BRITISH	1	180.0	False	False	False	False	False	False	False	False	False	False	False	False
67	F	U	U	WHITE	BRITISH	2	750.0	False	False	False	False	False	False	False	False	False	False	False	False
29	F	U	D	ASIAN	EASTASIAN	5	440.0				False	False	False	True	False	False	False	False	True
75	M	D	D	WHITE	BRITISH	1	600.0	False	False	False	True	True	False	False	False	False	False	False	False
71	F	D	D	WHITE	BRITISH	4	520.0	True	False	False	False	False	False	True	False	False	False	False	False
25	M	U	D	WHITE	BRITISH	1									False	False	False	False	False
18	U	U	U	UNKNOWN	MUSLIM	4	790.0												False
71	M	U	D	WHITE	ITALIAN	1	510.0	False	False	False	False	False	False	False	False	False	True	False	False
46	M	U	D	WHITE	BRITISH	4	600.0										False	False	False
52	U	D	D	WHITE	MUSLIM	5	730.0	False	False	False	False	False	False	True	True	True	False	False	False
72	M	U	D	WHITE	BRITISH	2	500.0	True	False	False	False	False	False	False	False	False	False	True	False
67	F	D	D	WHITE	BRITISH	1	580.0	False	False	False	False	False	False	False	False	False	False	False	False
63	F	U	U	WHITE	EASTEUROPEAN	3	490.0	True	False	False	False	False	False	False	False	False	False	False	False
66	F	D	D	WHITE	BRITISH	3	400.0	False	False	False	False	False	False	False	False	False	False	False	False
67	F	U	U	UNKNOWN	GERMANIC	1													
59	M	U	D	WHITE	BRITISH	3	580.0	False	False	False	True	True	False	False	True	True	False	False	False
74	M	U	D	WHITE	BRITISH	3	590.0	True	False	False	False	True	True	True	True	True	True	True	True
33	F	R	R	WHITE	BRITISH	1	640.0				False	False	False	False	False	False	False	False	False
60	U	U	U	UNKNOWN	EASTEUROPEAN	4	510.0												False
67	F	D	D	WHITE	BRITISH	3	570.0	True	False	False	False	True	False	False	True	False	False	False	False
41	U	U	U	ASIAN	INDIANSUBCONTINENT	4	670.0											False	False
28	M	D	D	ASIAN	INDIANSUBCONTINENT	2	770.0			False	False	False	False	False	False	False	False	False	False
25	M	U	U	WHITE	BRITISH	2	480.0						False	False	False	False	False	False	False
22	M	D	D	WHITE	JEWISH	2	960.0												False
46	M	D	D	WHITE	BRITISH	4	550.0	False	False	False	False	False	False	True	False	True	False	True	True
56	U	U	U	ASIAN	EASTASIAN	2	710.0												False
39	F	D	D	WHITE	JEWISH	4	730.0	False	False	False	False	False	False	False	False	True	True	True	True
64	M	U	D	WHITE	BRITISH	5	530.0	False	False	False	False	False	False	False	False	False	False	False	False
20	U	U	U	ASIAN	INDIANSUBCONTINENT	3	620.0												False
43	F	U	D	WHITE	JEWISH	2	510.0			False	False	False	False	False	False	True	True	True	True
46	M	U	D	WHITE	BRITISH	1	510.0	False	False	False	False	False	False	True	False	True	True	False	True
60	M	U	R	WHITE	BRITISH	3	720.0	False	False	False	False	True	False	False	False	False	False	False	False
62	F	U	D	WHITE	FRENCH	5													False
40	U	D	D	ASIAN	EASTASIAN	1	550.0											False	False
21	F	U	U	HISPANIC	BRITISH	2	860.0												False
52	M	U	D	WHITE	BRITISH	2	440.0	False	False	False	False	False	False	True	False	True	False	False	False
76	M	R	R	WHITE	BRITISH	4	390.0	False	False	False	False	False	False	False	False	False	False	False	False
72	M	D	D	WHITE	JEWISH	3	490.0	False	False	False	True	True	True	True	True	True	True	True	True
32	M	D	D	WHITE	JEWISH	4	370.0							False	False	False	False	False	False
94	F	D	D	WHITE	BRITISH	5	380.0	False	False	False	False	False	False	False	False	False	False	False	False
39	F	U	R	UNKNOWN	BRITISH	5							False	False	False	False	False	False	False
25	F	U	U	WHITE	BRITISH	2	940.0										False	False	False
66	M	U	R	WHITE	JAPANESE	2	970.0	False	False	False	False	False	False	False	False	False	False	False	False
63	F	U	D	WHITE	JEWISH	3	790.0	False	False	False	False	False	False	False	False	False	False	False	False
58	M	U	D	WHITE	BRITISH	2	680.0	False	False	False	False	False	False	False	False	False	False	False	False
52	M	U	D	WHITE	BRITISH	3	690.0	True	False	False	False	False	False	True	False	False	False	False	True
45	M	U	U	WHITE	BRITISH	1	620.0								False	False	True	True	True
59	U	U	D	WHITE	BRITISH	3	540.0	False	False	False	False	False	False	False	False	False	False	False	False
53	M	U	R	WHITE	JEWISH	4	570.0	True	False	False	False	True	False	False	False	True	False	False	True
44	F	D	D	ASIAN	INDIANSUBCONTINENT	1	650.0					False	False	False	False	False	True	False	False
51	U	U	U	ASIAN	EASTASIAN	4	740.0							True	False	False	False	False	False
24	F	U	U	WHITE	JEWISH	3	520.0							True	False	True	False	False	False
58	M	R	R	WHITE	BRITISH	5	350.0	False	False	False	False	False	False	False	False	False	False	False	False
43	M	D	D	WHITE	JEWISH	2	710.0				False	False	False	False	False	False	False	False	False
59	F	U	D	ASIAN	BRITISH	3	540.0							True	False	False	True	False	True
67	M	U	D	WHITE	BRITISH	4	500.0	False	False	False	False	True	False	False	True	False	True	True	False
55	M	U	D	WHITE	BRITISH	4	750.0	False	False	False	True	False	True	True	True	True	False	True	True
58	F	D	D	ASIAN	INDIANSUBCONTINENT	4	920.0	False	False	False	False	False	False	False	False	False	False	False	False
48	U	U	U	ASIAN	INDIANSUBCONTINENT	3	680.0				False	False	False	False	False	False	True	False	True
31	M	R	R	WHITE	BRITISH	5	600.0			False	False	False	False	False	False	False	False	False	False
31	F	U	D	WHITE	BRITISH	1	200.0						False	False	False	False	False	False	False
27	F	U	U	WHITE	BRITISH	5	460.0												False
27	M	D	D	WHITE	BRITISH	2	620.0				False	False	False	False	False	False	False	False	False
79	U	U	U	UNKNOWN	EASTASIAN	1													False
70	M	U	D	WHITE	JEWISH	2	840.0	False	False	False	True	True	False	False	False	False	False	False	True
60	M	R	R	WHITE	BRITISH	3	770.0	True	False	False	False	True	True	True	False	True	True	False	True
29	M	R	R	UNKNOWN	BRITISH	4													
60	M	U	D	WHITE	BRITISH	3	710.0	True	False	False	False	False	True	True	False	False	True	False	False
70	F	D	D	WHITE	FRENCH	4	650.0	True	False	False	False	True	False	False	False	False	False	False	False
63	F	U	U	WHITE	FRENCH	2	500.0	True	False	False	False	False	False	False	False	False	False	False	False
45	M	U	U	UNKNOWN	JEWISH	4	440.0	False	False	False	False	False	False	False	False	False	False	False	False
65	F	U	U	WHITE	EASTEUROPEAN	2	650.0	False	False	False	False	False	False	False	False	False	False	False	False
35	M	U	U	UNKNOWN	BRITISH	4	580.0												False
44	M	R	R	WHITE	EASTASIAN	4	450.0	False	False	False	False	False	False	False	False	False	False	False	False
58	M	U	R	WHITE	BRITISH	1	550.0	False	False	False	False	True	False	True	False	False	True	False	False
73	M	U	U	WHITE	JEWISH	5	750.0	False	False	False	False	False	False	False	False	False	False	False	False
45	U	D	D	ASIAN	INDIANSUBCONTINENT	5	490.0											True	False
70	M	U	D	WHITE	BRITISH	5	540.0	False	False	False	False	False	False	False	False	False	False	False	False
66	F	U	D	BLACK	BRITISH	3	520.0	False	False	False	False	False	False	False	False	False	False	False	False
25	F	D	D	WHITE	BRITISH	1	540.0						False	False	False	False	True	False	False
68	M	U	D	WHITE	BRITISH	2	680.0	True	False	False	False	False	False	False	False	False	False	False	False
25	M	U	U	WHITE	BRITISH	1	510.0							False	False	False	False	True	False
53	F	U	D	WHITE	JEWISH	3	510.0	True	False	False	False	False	False	False	False	False	False	False	False
54	M	U	D	WHITE	BRITISH	3	570.0						False	False	False	False	False	True	True
39	F	D	D	WHITE	BRITISH	5		False	False	False	False	False	False	False	False	False	False	False	False
49	F	D	D	WHITE	BRITISH	1	480.0	False	False	False	True	True	False	True	False	True	True	True	True
64	F	U	D	WHITE	EASTEUROPEAN	4	430.0	True	False	False	False	True	False	False	False	False	False	True	False
47	M	U	U	WHITE	EASTEUROPEAN	2	1100.0	False	False	False	True	False	False	False	False	False	False	False	False
69	F	D	D	WHITE	BRITISH	1	530.0	False	False	False	False	False	False	True	False	False	False	False	False
39	M	U	D	WHITE	BRITISH	1	660.0						False	False	False	False	False	False	True
53	M	D	D	WHITE	JEWISH	3	490.0	False	False	False	True	False	True	False	False	False	False	False	False
18	U	U	U	UNKNOWN	BRITISH	2	1380.0											False	False
22	F	D	D	ASIAN	EASTASIAN	5	660.0										False	False	False
52	F	D	D	WHITE	BRITISH	2	790.0	False	False	False	False	False	True	False	False	False	False	False	False
51	F	U	D	WHITE	BRITISH	2	630.0	True	False	False	False	False	False	True	False	True	True	False	True
50	U	U	D	ASIAN	EASTASIAN	3	670.0									False	False	False	False
19	M	U	U	UNKNOWN	EASTASIAN	5	920.0												False
20	M	U	U	ASIAN	EASTASIAN	5	1090.0									False	False	False	False
35	F	R	R	WHITE	JEWISH	5	700.0	False	False	False	False	False	False	False	False	False	False	False	False
29	M	U	D	WHITE	JEWISH	4	390.0				False	False	False	False	False	False	False	False	False
47	F	U	U	WHITE	ITALIAN	5	1070.0	False	False	False	False	False	False	False	False	False	False	False	False
44	F	U	D	WHITE	BRITISH	2	690.0	False	False	False	False	False	False	True	False	True	True	True	True
57	M	U	D	WHITE	BRITISH	2	840.0		False	False	False	False	False	False	False	False	False	False	False
56	M	D	D	ASIAN	MUSLIM	1	400.0	False	False	False	False	False	False	False	False	False	False	False	False
51	F	D	D	WHITE	JEWISH	3	550.0	False	False	False	False	False	False	True	False	False	True	False	False
34	M	U	D	WHITE	MUSLIM	2	920.0							False	False	False	False	False	False
51	F	D	D	WHITE	BRITISH	3	800.0	False	False	False	False	False	True	True	False	True	True	True	True
56	M	U	D	WHITE	BRITISH	1	660.0	False	False	False	False	False	False	False	False	False	False	False	False
31	M	U	D	WHITE	BRITISH	5	400.0						False	False	False	False	False	False	False
26	F	U	U	UNKNOWN	BRITISH	1	460.0								False	False	False	False	False
22	F	D	D	WHITE	BRITISH	4	460.0										False	False	False
44	F	D	D	WHITE	GERMANIC	5	600.0		False	False	False	False	False	False	False	True	True	False	True
73	M	U	D	WHITE	JEWISH	5	510.0	True	False	False	False	False	False	True	False	False	False	False	False
59	F	D	D	WHITE	FRENCH	4	560.0	False	False	False	True	False	False	True	False	True	True	False	False
53	M	U	D	WHITE	BRITISH	2	810.0	False	False	False	False	True	True	True	True	True	True	True	True
44	U	D	D	ASIAN	BRITISH	3	740.0	False	False	False	False	False	False	True	False	True	True	False	True
52	F	U	D	WHITE	GERMANIC	4	420.0	False	False	False	False	False	False	False	False	False	False	False	False
29	M	U	U	WHITE	JEWISH	4	680.0				False	False	False	False	False	False	False	False	False
29	M	U	D	WHITE	BRITISH	5	400.0		False	False	False	False	False	False	False	True	False	False	False
75	F	U	D	WHITE	JEWISH	2	470.0	False	False	False	False	False	False	False	False	False	False	False	False
50	F	D	D	ASIAN	INDIANSUBCONTINENT	5	630.0					False	False	False	False	False	False	False	True
47	U	D	D	ASIAN	BRITISH	4	470.0											False	False
73	M	U	D	WHITE	BRITISH	1	530.0	True	False	False	False	True	False	False	False	False	True	False	False
25	U	D	D	ASIAN	BRITISH	5	840.0						False	False	False	False	False	False	False
45	M	U	U	WHITE	JEWISH	2	520.0	False	False	False	False	False	False	False	False	False	False	False	False
38	F	U	D	WHITE	JEWISH	2	810.0	False	False	False	False	False	False	False	False	False	True	True	True
34	F	U	D	WHITE	BRITISH	5									False	False	False	False	False
42	F	U	U	WHITE	BRITISH	5	410.0		False	False	False	False	False	False	False	False	True	False	False
28	M	U	U	UNKNOWN	EASTEUROPEAN	2	530.0												
34	U	D	D	BLACK	FRENCH	2	750.0	False	False	False	False	False	False	False	False	False	False	False	False
19	U	U	U	BLACK	BRITISH	4	460.0												False
18	M	U	U	UNKNOWN	JEWISH	3	630.0											False	False
86	M	U	D	WHITE	INDIANSUBCONTINENT	5	460.0	False	False	False	False	True	False	False	True	True	True	True	False
43	M	D	D	WHITE	JEWISH	3	480.0	False	False	False	False	True	False	True	True	True	True	True	True
61	M	U	D	WHITE	BRITISH	1	530.0	False	False	False	True	False	False	True	False	False	True	False	True
40	M	U	R	WHITE	BRITISH	5	410.0							False	False	False	True	False	False
47	F	D	D	WHITE	BRITISH	2	590.0								False	True	True	True	True
22	M	D	D	WHITE	HISPANIC	3	500.0									True	False	False	False
62	M	U	D	WHITE	BRITISH	1	460.0	False	False	False	False	False	False	False	False	False	False	False	False
27	M	U	D	WHITE	BRITISH	4	680.0							False	False	True	False	False	True
42	F	U	U	WHITE	EASTEUROPEAN	1	210.0		False	False	False	False	False	False	False	False	False	False	False
51	M	U	R	WHITE	BRITISH	5		False	False	False	False	True	False	False	False	False	False	True	False
86	F	U	D	WHITE	BRITISH	3	490.0	False	False	False	False	False	False	False	False	False	True	False	False
19	M	R	R	WHITE	BRITISH	2	1060.0									False	False	False	False
52	U	D	D	WHITE	BRITISH	3	790.0	False	False	False	True	False	True	True	False	True	True	False	True
83	M	U	D	WHITE	BRITISH	5	430.0	False	False	False	True	False	False	True	False	True	True	True	False
37	M	U	U	WHITE	EASTEUROPEAN	1													False
24	U	U	D	ASIAN	INDIANSUBCONTINENT	4	390.0										False	False	False
52	F	R	R	WHITE	BRITISH	1	550.0	False	False	False	False	False	True	True	False	True	False	False	False
73	M	U	D	WHITE	ITALIAN	1	510.0	False	False	False	False	True	False	False	True	False	False	False	False
46	M	U	U	UNKNOWN	INDIANSUBCONTINENT	2	940.0												
44	M	U	D	WHITE	EASTEUROPEAN	1	730.0	False	False	False	False	False	False	False	False	False	False	False	False
57	M	U	D	WHITE	JEWISH	3	570.0	False	False	False	False	False	False	False	False	False	True	False	False
33	F	U	U	UNKNOWN	BRITISH	5	380.0	False	False	False	False	False	False	False	False	False	False	False	False
33	F	U	U	UNKNOWN	INDIANSUBCONTINENT	4	600.0												
53	F	D	D	WHITE	BRITISH	4	590.0									False	False	False	False
50	M	U	R	WHITE	BRITISH	5	420.0								False	False	False	False	False
39	M	U	D	WHITE	BRITISH	1	450.0	False	False	False	False	False	False	False	False	True	True	True	False
55	F	U	U	WHITE	BRITISH	4	390.0											False	False
48	U	U	U	ASIAN	EASTASIAN	3	820.0										False	False	False
19	F	U	U	UNKNOWN	ITALIAN	1	550.0												False
92	M	U	R	WHITE	BRITISH	1		False	False	False	False	False	False	False	False	False	False	False	False
44	F	U	U	WHITE	ITALIAN	2	420.0								False	False	False	False	False
82	F	U	D	WHITE	JEWISH	4	610.0	False	False	False	True	True	False	True	True	True	True	True	True
37	M	U	D	WHITE	BRITISH	4	550.0	False	True	False	False	False	False	False	False	False	False	False	False
61	U	D	D	WHITE	JEWISH	4		False	False	False	False	False	False	False	False	False	True	False	False
40	F	U	D	WHITE	BRITISH	5	400.0	False	False	False	False	False	False	True	True	True	True	False	True
61	F	D	D	UNKNOWN	BRITISH	4	510.0	False	False	False	False	False	True	False	False	False	True	True	True
65	U	U	R	ASIAN	EASTASIAN	3	790.0	False	False	False	False	False	False	False	False	True	False	False	False
65	M	U	R	WHITE	BRITISH	3	590.0	False	False	False	False	False	False	False	False	False	False	False	False
52	U	D	D	WHITE	BRITISH	4	520.0	False	False	False	False	True	False	False	False	True	False	False	False
47	F	U	U	WHITE	BRITISH	4	400.0	False	False	False	False	False	False	False	False	False	False	False	False
67	M	D	D	WHITE	BRITISH	5	420.0	False	False	False	False	True	False	True	False	False	True	True	True
20	F	D	D	ASIAN	EASTASIAN	4	880.0											False	False
38	U	D	D	ASIAN	EASTASIAN	3	830.0						False	False	False	True	True	True	True
18	F	U	U	UNKNOWN	BRITISH	1	820.0											False	False
79	F	D	D	BLACK	BRITISH	3	450.0	False	False	False	False	False	False	False	False	False	False	False	False
50	M	D	D	WHITE	JEWISH	4	690.0	True	False	False	False	True	False	True	False	False	True	False	False
50	F	U	D	WHITE	BRITISH	2	780.0	False	False	False	True	True	True	False	False	False	False	False	False
37	U	U	U	UNKNOWN	JEWISH	2	670.0												
24	M	D	D	BLACK	BRITISH	3	590.0							False	False	False	False	False	False
48	F	U	U	WHITE	BRITISH	1	440.0	False	False	False	False	False	False	False	False	False	False	False	True
60	F	U	U	BLACK	BRITISH	4	860.0	False	False	False	False	False	False	False	False	False	False	False	False
22	M	D	D	WHITE	JEWISH	4	570.0										False	True	False
22	M	U	U	WHITE	JEWISH	1											False	False	False
65	F	U	U	WHITE	EASTEUROPEAN	1													False
85	F	U	D	WHITE	JEWISH	2	580.0	False	False	False	True	True	False	True	False	False	False	False	False
18	F	U	U	UNKNOWN	HISPANIC	4	440.0												
35	M	U	U	UNKNOWN	ITALIAN	4													True
44	F	U	D	WHITE	BRITISH	5	620.0	False	False	False	False	True	True	True	False	True	True	True	True
59	M	U	D	WHITE	BRITISH	2	710.0	True	False	False	False	False	False	True	False	True	True	False	False
72	F	U	D	WHITE	BRITISH	5	540.0	False	False	False	False	False	False	False	False	False	False	False	False
56	U	D	D	ASIAN	INDIANSUBCONTINENT	5	650.0					False	False	False	False	False	False	False	False
48	U	D	D	ASIAN	EASTASIAN	5	370.0	False	False	False	False	False	False	False	False	False	False	False	False
60	U	U	U	ASIAN	EASTASIAN	5	440.0												False
23	M	R	R	WHITE	JEWISH	2	620.0											False	False
77	M	U	D	WHITE	BRITISH	3	520.0	True	False	False	False	True	False	True	True	False	False	False	True
35	M	D	D	WHITE	BRITISH	1	450.0	False	False	False	False	False	False	False	False	False	False	False	False
52	M	U	U	UNKNOWN	BRITISH	1	740.0												False
63	F	U	D	WHITE	BRITISH	5	570.0	False	False	False	True	False	False	True	False	True	True	True	True
20	F	D	D	ASIAN	INDIANSUBCONTINENT	3	710.0										False	False	False
72	F	D	D	WHITE	JEWISH	1	490.0	False	False	False	True	True	True	False	False	False	False	True	True
34	M	D	D	WHITE	JEWISH	4	440.0	False	False	False	False	False	False	False	False	False	False	False	False
77	F	D	D	WHITE	JEWISH	4	640.0	False	False	False	False	True	False	True	False	False	False	False	False
40	U	U	D	ASIAN	INDIANSUBCONTINENT	2	900.0										False	False	True
40	F	D	D	WHITE	ITALIAN	5	370.0					False	False	True	False	False	False	False	False
67	F	D	D	WHITE	BRITISH	5	380.0	False	False	False	True	True	False	True	False	True	True	False	True
18	F	U	U	UNKNOWN	BRITISH	2	500.0											False	False
61	F	U	D	WHITE	JEWISH	4	540.0	False	False	False	False	False	False	False	True	False	True	True	True
32	M	D	D	UNKNOWN	EASTEUROPEAN	1	220.0												
52	M	U	D	WHITE	BRITISH	2	680.0	False	False	False	True	True	False	True	False	True	True	False	False
56	F	D	D	WHITE	JEWISH	3	580.0	False	False	False	False	True	False	False	False	False	False	False	False
36	M	U	D	WHITE	BRITISH	3	530.0	False	False	False	False	False	False	False	False	False	False	False	False
65	M	D	D	ASIAN	INDIANSUBCONTINENT	4	800.0	False	False	False	False	False	False	False	False	False	False	False	False
83	F	D	D	WHITE	FRENCH	5	440.0	False	False	False	False	False	False	False	False	False	False	False	False
31	F	D	D	HISPANIC	HISPANIC	2	580.0	False	False	False	False	False	False	False	False	False	False	False	False
75	M	U	D	WHITE	BRITISH	2	550.0	True	False	False	False	False	False	False	False	True	False	True	True
50	F	U	D	WHITE	BRITISH	4	540.0	False	True	False	False	True	False	True	True	True	True	True	True
56	M	U	D	WHITE	BRITISH	3	600.0	False	False	False	False	False	False	False	False	False	False	False	False
47	F	D	D	WHITE	INDIANSUBCONTINENT	5	520.0	False	False	False	False	False	True	True	True	True	True	True	True
53	U	U	D	ASIAN	EASTASIAN	4	720.0	False	False	False	False	False	False	True	False	False	True	False	False
